TERYT Gminy,Gmina,Powiat,Województwo,Nr okręgu,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona",Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
,Brazylia,zagranica,,19,2,2,160.0,127.0,63.0,97.0,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,1.0,1.0,0.0,0.0,96.0,2.0,8.0,17.0,28.0,6.0,32.0,3.0,,,,,
,Bułgaria,zagranica,,19,2,2,1150.0,995.0,189.0,961.0,0.0,961.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.0,4.0,957.0,6.0,4.0,2.0,0.0,951.0,15.0,151.0,160.0,109.0,87.0,423.0,6.0,,,,,
,Białoruś,zagranica,,19,1,1,150.0,95.0,60.0,90.0,0.0,90.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,2.0,1.0,1.0,0.0,88.0,2.0,10.0,8.0,32.0,9.0,27.0,0.0,,,,,
,Kanada,zagranica,,19,12,12,14509.0,12166.0,3290.0,11216.0,0.0,11216.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,11217.0,0.0,9.0,11208.0,200.0,48.0,152.0,0.0,11008.0,48.0,547.0,623.0,5182.0,688.0,3568.0,352.0,,,,,
,Chile,zagranica,,19,1,1,170.0,149.0,34.0,136.0,0.0,136.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,136.0,1.0,0.0,1.0,0.0,135.0,2.0,19.0,19.0,18.0,9.0,67.0,1.0,,,,,
,Chiny,zagranica,,19,5,5,1585.0,1327.0,362.0,1223.0,0.0,1223.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,0.0,0.0,1220.0,13.0,7.0,6.0,0.0,1207.0,12.0,191.0,214.0,79.0,91.0,613.0,7.0,,,,,
,Miasto Tajpej,zagranica,,19,1,1,330.0,287.0,55.0,275.0,0.0,275.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,275.0,2.0,0.0,2.0,0.0,273.0,4.0,53.0,93.0,21.0,21.0,79.0,2.0,,,,,
,Kolumbia,zagranica,,19,1,1,120.0,105.0,30.0,90.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,1.0,0.0,1.0,0.0,89.0,4.0,10.0,31.0,15.0,3.0,26.0,0.0,,,,,
,Chorwacja,zagranica,,19,2,2,2505.0,1900.0,722.0,1783.0,0.0,1783.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,1783.0,13.0,9.0,4.0,0.0,1770.0,26.0,308.0,285.0,208.0,125.0,753.0,65.0,,,,,
,Kuba,zagranica,,19,1,1,150.0,126.0,33.0,117.0,0.0,117.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,117.0,1.0,1.0,0.0,0.0,116.0,1.0,11.0,13.0,13.0,17.0,60.0,1.0,,,,,
,Cypr,zagranica,,19,1,1,3000.0,2548.0,847.0,2153.0,0.0,2153.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.0,0.0,0.0,2153.0,12.0,3.0,9.0,0.0,2141.0,27.0,330.0,346.0,148.0,147.0,1135.0,8.0,,,,,
,Czechy,zagranica,,19,4,4,3900.0,3383.0,664.0,3236.0,0.0,3236.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.0,0.0,2.0,3234.0,20.0,12.0,8.0,0.0,3214.0,39.0,485.0,817.0,311.0,172.0,1365.0,25.0,,,,,
,Dania,zagranica,,19,5,5,12094.0,10729.0,2233.0,9883.0,0.0,9883.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,9882.0,0.0,1.0,9881.0,69.0,35.0,34.0,0.0,9812.0,117.0,1186.0,2261.0,946.0,1048.0,4121.0,133.0,,,,,
,Etiopia,zagranica,,19,1,1,40.0,26.0,19.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,3.0,7.0,0.0,7.0,0.0,,,,,
,Estonia,zagranica,,19,1,1,250.0,224.0,38.0,212.0,0.0,212.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,212.0,1.0,1.0,0.0,0.0,211.0,4.0,30.0,56.0,25.0,17.0,77.0,2.0,,,,,
,Finlandia,zagranica,,19,2,2,1800.0,1692.0,209.0,1591.0,0.0,1591.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0,0.0,0.0,1591.0,6.0,4.0,2.0,0.0,1585.0,21.0,186.0,400.0,126.0,153.0,680.0,19.0,,,,,
,Francja,zagranica,,19,18,18,24153.0,20693.0,5048.0,19097.0,0.0,19097.0,0.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,19099.0,0.0,15.0,19084.0,167.0,62.0,105.0,0.0,18917.0,165.0,2190.0,2887.0,3840.0,1144.0,8350.0,341.0,,,,,
,Gruzja,zagranica,,19,1,1,1500.0,942.0,587.0,913.0,0.0,913.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,0.0,0.0,912.0,8.0,4.0,4.0,0.0,904.0,21.0,134.0,141.0,130.0,76.0,388.0,14.0,,,,,
,Niemcy,zagranica,,19,47,47,135102.0,113556.0,32538.0,102447.0,0.0,102447.0,0.0,4734.0,0.0,0.0,0.0,0.0,0.0,0.0,102553.0,0.0,239.0,102314.0,773.0,511.0,262.0,0.0,101541.0,1007.0,11537.0,12522.0,16124.0,8489.0,50013.0,1849.0,,,,,
,Grecja,zagranica,,19,4,4,6600.0,5841.0,1559.0,5041.0,0.0,5041.0,0.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,5041.0,0.0,1.0,5040.0,54.0,28.0,26.0,0.0,4986.0,75.0,847.0,848.0,528.0,300.0,2323.0,65.0,,,,,
,Węgry,zagranica,,19,1,1,1800.0,1919.0,42.0,1758.0,0.0,1758.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,0.0,4.0,1753.0,17.0,10.0,7.0,0.0,1736.0,34.0,281.0,338.0,278.0,139.0,643.0,23.0,,,,,
,Islandia,zagranica,,19,5,5,7721.0,6424.0,1747.0,5970.0,0.0,5970.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,5967.0,0.0,4.0,5963.0,61.0,43.0,18.0,0.0,5902.0,125.0,838.0,1234.0,602.0,919.0,2094.0,90.0,,,,,
,Indie,zagranica,,19,2,2,540.0,357.0,233.0,307.0,0.0,307.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,307.0,3.0,0.0,3.0,0.0,304.0,3.0,45.0,78.0,13.0,13.0,151.0,1.0,,,,,
,Indonezja,zagranica,,19,2,2,1245.0,924.0,422.0,823.0,0.0,823.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.0,0.0,823.0,2.0,0.0,2.0,0.0,821.0,11.0,138.0,197.0,25.0,39.0,409.0,2.0,,,,,
,Iran,zagranica,,19,1,1,50.0,36.0,17.0,33.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,1.0,0.0,1.0,0.0,32.0,0.0,4.0,4.0,4.0,3.0,17.0,0.0,,,,,
,Irak,zagranica,,19,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Irlandia,zagranica,,19,11,11,26227.0,24822.0,3195.0,23032.0,0.0,23032.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,23011.0,0.0,10.0,23001.0,237.0,87.0,150.0,0.0,22764.0,257.0,2833.0,2984.0,2939.0,2395.0,10871.0,485.0,,,,,
,Włochy,zagranica,,19,8,8,19800.0,17489.0,4049.0,15749.0,0.0,15749.0,0.0,2928.0,0.0,0.0,0.0,0.0,0.0,0.0,15734.0,0.0,0.0,15734.0,92.0,61.0,31.0,0.0,15642.0,174.0,2267.0,2870.0,2387.0,755.0,6940.0,249.0,,,,,
,Kosowo,zagranica,,19,1,1,300.0,286.0,27.0,273.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,273.0,7.0,7.0,0.0,0.0,266.0,7.0,28.0,8.0,91.0,89.0,41.0,2.0,,,,,
,Japonia,zagranica,,19,2,2,1690.0,1639.0,133.0,1557.0,0.0,1557.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,0.0,0.0,1556.0,14.0,4.0,10.0,0.0,1542.0,15.0,207.0,441.0,81.0,84.0,704.0,10.0,,,,,
,Kazachstan,zagranica,,19,2,2,280.0,186.0,101.0,179.0,0.0,179.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,179.0,2.0,1.0,1.0,0.0,177.0,2.0,19.0,14.0,50.0,14.0,74.0,4.0,,,,,
,Jordania,zagranica,,19,1,1,500.0,250.0,285.0,215.0,0.0,215.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,215.0,5.0,3.0,2.0,0.0,210.0,1.0,33.0,34.0,25.0,8.0,109.0,0.0,,,,,
,Kenia,zagranica,,19,1,1,160.0,128.0,45.0,115.0,0.0,115.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,115.0,0.0,11.0,28.0,17.0,4.0,53.0,2.0,,,,,
,Korea Południowa,zagranica,,19,1,1,690.0,684.0,51.0,639.0,0.0,639.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,0.0,639.0,8.0,7.0,1.0,0.0,631.0,8.0,109.0,193.0,34.0,20.0,259.0,8.0,,,,,
,Kuwejt,zagranica,,19,1,1,150.0,117.0,39.0,111.0,0.0,111.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,111.0,2.0,1.0,1.0,0.0,109.0,2.0,18.0,19.0,14.0,2.0,52.0,2.0,,,,,
,Liban,zagranica,,19,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Łotwa,zagranica,,19,1,1,700.0,536.0,177.0,523.0,0.0,523.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,523.0,8.0,8.0,0.0,0.0,515.0,18.0,60.0,93.0,85.0,85.0,167.0,7.0,,,,,
,Litwa,zagranica,,19,1,1,500.0,366.0,134.0,366.0,0.0,366.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,366.0,6.0,2.0,4.0,0.0,360.0,7.0,48.0,77.0,76.0,20.0,131.0,1.0,,,,,
,Luksemburg,zagranica,,19,2,2,6013.0,3949.0,2231.0,3781.0,0.0,3781.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,3781.0,0.0,0.0,3781.0,14.0,8.0,6.0,0.0,3767.0,44.0,488.0,555.0,411.0,209.0,2007.0,53.0,,,,,
,Malezja,zagranica,,19,1,1,450.0,248.0,217.0,233.0,0.0,233.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,233.0,1.0,0.0,1.0,0.0,232.0,2.0,38.0,47.0,27.0,9.0,106.0,3.0,,,,,
,Malta,zagranica,,19,1,1,2750.0,2612.0,331.0,2419.0,0.0,2419.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.0,0.0,0.0,2419.0,15.0,1.0,14.0,0.0,2404.0,32.0,412.0,404.0,219.0,163.0,1150.0,24.0,,,,,
,Meksyk,zagranica,,19,1,1,380.0,346.0,125.0,255.0,0.0,255.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,255.0,3.0,3.0,0.0,0.0,252.0,5.0,26.0,60.0,19.0,7.0,132.0,3.0,,,,,
,Mongolia,zagranica,,19,1,1,28.0,18.0,10.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,4.0,5.0,0.0,8.0,0.0,,,,,
,Mołdawia,zagranica,,19,1,1,200.0,98.0,113.0,87.0,0.0,87.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,87.0,0.0,12.0,8.0,25.0,6.0,35.0,1.0,,,,,
,Czarnogóra,zagranica,,19,1,1,1000.0,633.0,432.0,568.0,0.0,568.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,568.0,5.0,3.0,2.0,0.0,563.0,10.0,104.0,121.0,38.0,53.0,234.0,3.0,,,,,
,Maroko,zagranica,,19,2,2,626.0,409.0,241.0,385.0,0.0,385.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,385.0,5.0,4.0,1.0,0.0,380.0,1.0,53.0,79.0,26.0,11.0,204.0,6.0,,,,,
,Oman,zagranica,,19,1,1,141.0,103.0,43.0,98.0,0.0,98.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,98.0,5.0,9.0,21.0,4.0,7.0,52.0,0.0,,,,,
,Holandia,zagranica,,19,13,13,44023.0,37661.0,11009.0,32996.0,0.0,32996.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,32985.0,0.0,23.0,32962.0,256.0,147.0,109.0,0.0,32706.0,468.0,4071.0,6556.0,2654.0,4335.0,14261.0,361.0,,,,,
,Nowa Zelandia,zagranica,,19,2,2,630.0,498.0,181.0,449.0,0.0,449.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,0.0,449.0,8.0,2.0,6.0,0.0,441.0,3.0,54.0,99.0,33.0,17.0,230.0,5.0,,,,,
,Nigeria,zagranica,,19,1,1,30.0,23.0,7.0,23.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,1.0,3.0,4.0,2.0,3.0,10.0,0.0,,,,,
,Norwegia,zagranica,,19,11,11,31520.0,27069.0,7477.0,24042.0,0.0,24042.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,24041.0,0.0,5.0,24036.0,169.0,96.0,73.0,0.0,23867.0,345.0,2974.0,3424.0,3570.0,3202.0,9885.0,467.0,,,,,
,Pakistan,zagranica,,19,1,1,80.0,49.0,36.0,44.0,0.0,44.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,1.0,1.0,0.0,0.0,43.0,3.0,6.0,5.0,7.0,3.0,18.0,1.0,,,,,
,Panama,zagranica,,19,1,1,100.0,75.0,33.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,67.0,0.0,11.0,12.0,5.0,7.0,31.0,1.0,,,,,
,Peru,zagranica,,19,1,1,200.0,152.0,67.0,133.0,0.0,133.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,133.0,4.0,1.0,3.0,0.0,129.0,0.0,13.0,17.0,14.0,13.0,72.0,0.0,,,,,
,Filipiny,zagranica,,19,1,1,140.0,107.0,47.0,93.0,0.0,93.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,93.0,1.0,1.0,0.0,0.0,92.0,0.0,13.0,19.0,7.0,14.0,39.0,0.0,,,,,
,Portugalia,zagranica,,19,3,3,6703.0,4841.0,2181.0,4521.0,0.0,4521.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,4520.0,0.0,11.0,4509.0,22.0,8.0,14.0,0.0,4487.0,45.0,660.0,1211.0,376.0,191.0,1950.0,54.0,,,,,
,Katar,zagranica,,19,1,1,330.0,323.0,27.0,303.0,0.0,303.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,303.0,1.0,0.0,1.0,0.0,302.0,3.0,32.0,43.0,20.0,21.0,181.0,2.0,,,,,
,Rumunia,zagranica,,19,1,1,1000.0,644.0,401.0,600.0,0.0,600.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,599.0,5.0,3.0,2.0,0.0,594.0,10.0,92.0,107.0,99.0,105.0,175.0,6.0,,,,,
,Rosja,zagranica,,19,1,1,200.0,164.0,54.0,146.0,0.0,146.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,146.0,1.0,1.0,0.0,0.0,145.0,4.0,14.0,15.0,36.0,7.0,60.0,9.0,,,,,
,Arabia Saudyjska,zagranica,,19,1,1,254.0,205.0,70.0,184.0,0.0,184.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,184.0,4.0,3.0,1.0,0.0,180.0,6.0,33.0,22.0,7.0,7.0,104.0,1.0,,,,,
,Senegal,zagranica,,19,1,1,70.0,43.0,34.0,36.0,0.0,36.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0,2.0,10.0,1.0,19.0,0.0,,,,,
,Serbia,zagranica,,19,1,1,200.0,197.0,14.0,186.0,0.0,186.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,186.0,3.0,2.0,1.0,0.0,183.0,2.0,18.0,38.0,11.0,19.0,92.0,3.0,,,,,
,Singapur,zagranica,,19,1,1,648.0,647.0,42.0,606.0,0.0,606.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,606.0,4.0,1.0,3.0,0.0,602.0,3.0,88.0,106.0,33.0,38.0,331.0,3.0,,,,,
,Słowacja,zagranica,,19,1,1,700.0,627.0,102.0,597.0,0.0,597.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,598.0,2.0,1.0,1.0,0.0,596.0,6.0,85.0,80.0,89.0,62.0,268.0,6.0,,,,,
,Wietnam,zagranica,,19,2,2,999.0,566.0,472.0,527.0,0.0,527.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,527.0,6.0,3.0,3.0,0.0,521.0,10.0,77.0,131.0,20.0,27.0,255.0,1.0,,,,,
,Słowenia,zagranica,,19,1,1,550.0,530.0,45.0,505.0,0.0,505.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,0.0,505.0,1.0,0.0,1.0,0.0,504.0,10.0,73.0,113.0,66.0,30.0,200.0,12.0,,,,,
,Południowa Afryka,zagranica,,19,2,2,590.0,514.0,113.0,477.0,0.0,477.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,477.0,6.0,5.0,1.0,0.0,471.0,3.0,28.0,44.0,83.0,30.0,268.0,15.0,,,,,
,Hiszpania,zagranica,,19,15,15,43475.0,27683.0,18268.0,25210.0,0.0,25210.0,0.0,3939.0,0.0,0.0,0.0,0.0,0.0,0.0,25205.0,0.0,9.0,25196.0,127.0,53.0,74.0,0.0,25069.0,228.0,3766.0,4753.0,1968.0,1245.0,12893.0,216.0,,,,,
,Szwecja,zagranica,,19,5,5,17884.0,15473.0,3984.0,13900.0,0.0,13900.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,13866.0,0.0,4.0,13862.0,110.0,60.0,50.0,0.0,13752.0,131.0,1687.0,2175.0,2150.0,1195.0,6222.0,192.0,,,,,
,Szwajcaria,zagranica,,19,6,6,15356.0,14103.0,2343.0,13012.0,0.0,13012.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,13004.0,0.0,2.0,13002.0,73.0,46.0,27.0,0.0,12929.0,162.0,1843.0,2215.0,1430.0,1302.0,5783.0,194.0,,,,,
